,code,weight,Time,Start_Date,End_Date,Train_Start,Train_End
0,600519.SS,0.1466699,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
1,300750.SZ,0.06357539,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
2,000858.SZ,0.0490557,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
3,600036.SS,0.04535265,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
4,601318.SS,0.03168923,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
5,600900.SS,0.03100248,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
6,002594.SZ,0.02977951,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
7,300760.SZ,0.02424505,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
8,000568.SZ,0.02405405,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
9,601888.SS,0.0229518399999999,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
10,601166.SS,0.02250947,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
11,601398.SS,0.02204032,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
12,600809.SS,0.0213215699999999,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
13,603288.SS,0.02005583,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
14,601012.SS,0.01964548,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
15,600309.SS,0.01931231,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
16,601288.SS,0.01888217,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
17,600276.SS,0.0175231,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
18,002352.SZ,0.01739143,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
19,002714.SZ,0.0172019,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
20,300059.SZ,0.01697978,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
21,601899.SS,0.01636776,2023q2,2023-04-01,2023-06-30,2023-01-01,2023-03-30
